Title,Link
Using DataBases w/ Python,https://www.coursera.org/learn/python-databases/reviews
Python Basics,https://www.coursera.org/learn/python-basics/reviews
Programming for everybody (getting Started w/ python),https://www.coursera.org/learn/python/reviews
Crash Course On Python,https://www.coursera.org/learn/python-crash-course/reviews
OOP Python,https://www.coursera.org/learn/object-oriented-python/reviews
"Python Object Basics: Functions, Recursion, and Objects",https://www.coursera.org/learn/python-object-basics/reviews
"Python Object Basics: List, Strings, and Files",https://www.coursera.org/learn/python-basic-structures-lists-strings-and-files/reviews
Data Structures and Algorithms,https://www.coursera.org/learn/data-structures/reviews
SQL for Data Science,https://www.coursera.org/learn/data-wrangling-analysis-abtesting/reviews
"Data Wrangling, Analysis and AB Testing w/ SQL",https://www.coursera.org/learn/data-wrangling-analysis-abtesting/reviews
"Foundations: Data, Data, Everywhere",https://www.coursera.org/learn/foundations-data/reviews
Ask questions to make data-driven decisions,https://www.coursera.org/learn/ask-questions-make-decisions/reviews
Prep Data for EDA,https://www.coursera.org/learn/data-preparation/reviews
Intro to structured query language,https://www.coursera.org/learn/intro-sql/reviews
Using Python to Access Web Data,https://www.coursera.org/learn/python-network-data/reviews
