word,star_1,star_2,star_3,star_4,star_5
highli,2.0,4.0,4.0,23.0,1973.0
recommend,9.0,13.0,16.0,85.0,4345.0
anyon,5.0,2.0,2.0,34.0,1666.0
want,14.0,11.0,15.0,67.0,2592.0
start,13.0,8.0,18.0,135.0,4046.0
learn,46.0,44.0,87.0,459.0,18113.0
ai,65.0,57.0,147.0,713.0,11263.0
explain,16.0,10.0,56.0,157.0,3023.0
coher,0.0,0.0,0.0,0.0,10.0
intuit,0.0,0.0,1.0,2.0,135.0
way,19.0,18.0,39.0,118.0,5286.0
help,34.0,18.0,48.0,197.0,7735.0
lay,4.0,1.0,4.0,10.0,312.0
foundat,2.0,3.0,5.0,15.0,1039.0
lifelong,0.0,0.0,0.0,1.0,118.0
experi,17.0,13.0,21.0,80.0,3092.0
new,9.0,11.0,24.0,87.0,3866.0
career,1.0,0.0,2.0,25.0,752.0
brilliantli,0.0,0.0,0.0,1.0,49.0
deliv,1.0,9.0,6.0,15.0,474.0
contain,2.0,5.0,3.0,5.0,91.0
import,5.0,6.0,6.0,32.0,1080.0
stuff,7.0,3.0,13.0,27.0,434.0
practition,0.0,0.0,0.0,2.0,14.0
expert,3.0,4.0,3.0,10.0,288.0
orient,0.0,0.0,3.0,6.0,53.0
themselv,3.0,1.0,2.0,2.0,66.0
watch,12.0,6.0,10.0,13.0,400.0
video,66.0,59.0,115.0,197.0,2375.0
two,16.0,14.0,38.0,74.0,410.0
everi,6.0,3.0,11.0,20.0,1577.0
day,9.0,5.0,5.0,18.0,1054.0
im,104.0,63.0,162.0,435.0,9529.0
realli,33.0,38.0,60.0,186.0,7023.0
enjoy,1.0,5.0,14.0,68.0,3015.0
use,39.0,40.0,91.0,312.0,6556.0
equip,0.0,1.0,2.0,3.0,76.0
right,5.0,6.0,8.0,12.0,647.0
attitud,0.0,0.0,0.0,0.0,62.0
project,2.0,3.0,4.0,40.0,341.0
limit,2.0,2.0,6.0,15.0,164.0
affect,0.0,0.0,0.0,1.0,54.0
veri,90.0,85.0,174.0,681.0,16110.0
benefici,0.0,1.0,1.0,2.0,225.0
set,5.0,3.0,7.0,29.0,592.0
mindset,0.0,0.0,1.0,2.0,97.0
carri,0.0,0.0,0.0,3.0,83.0
next,1.0,3.0,7.0,20.0,1110.0
cours,151.0,139.0,322.0,1419.0,34458.0
got,8.0,6.0,14.0,42.0,932.0
comprehens,2.0,2.0,2.0,15.0,377.0
overview,0.0,2.0,13.0,79.0,588.0
mean,15.0,4.0,12.0,15.0,352.0
variou,0.0,2.0,4.0,16.0,316.0
concept,15.0,16.0,47.0,111.0,2737.0
talk,19.0,9.0,8.0,15.0,212.0
thi,135.0,116.0,229.0,715.0,21694.0
context,1.0,1.0,3.0,5.0,87.0
excel,4.0,5.0,13.0,132.0,8910.0
one,54.0,48.0,62.0,172.0,4072.0
solid,1.0,3.0,3.0,13.0,331.0
ground,9.0,6.0,22.0,32.0,801.0
five,0.0,0.0,2.0,2.0,80.0
star,16.0,10.0,30.0,179.0,4230.0
thank,2.0,4.0,24.0,238.0,10580.0
andrew,0.0,0.0,6.0,67.0,1338.0
wonder,3.0,1.0,4.0,42.0,1684.0
insight,0.0,3.0,6.0,43.0,1295.0
clear,11.0,23.0,61.0,97.0,2502.0
lot,20.0,30.0,53.0,192.0,5515.0
doubt,2.0,2.0,2.0,8.0,218.0
misconcept,0.0,0.0,0.0,1.0,46.0
onc,19.0,23.0,54.0,137.0,3398.0
kudo,0.0,0.0,0.0,2.0,138.0
prof,15.0,17.0,22.0,67.0,3072.0
ng,66.0,69.0,120.0,360.0,9693.0
educ,7.0,6.0,4.0,13.0,719.0
world,5.0,5.0,8.0,61.0,1227.0
better,29.0,28.0,45.0,135.0,1837.0
place,5.0,6.0,10.0,16.0,283.0
professor,4.0,5.0,12.0,39.0,1738.0
complex,1.0,1.0,12.0,32.0,347.0
topic,18.0,17.0,46.0,103.0,1267.0
simpl,8.0,12.0,17.0,71.0,2187.0
easi,11.0,9.0,46.0,195.0,5887.0
understand,42.0,52.0,131.0,325.0,6223.0
idea,3.0,9.0,11.0,41.0,1020.0
everyon,5.0,1.0,4.0,38.0,1838.0
growth,0.0,0.0,1.0,0.0,33.0
valu,5.0,6.0,6.0,29.0,848.0
societi,0.0,0.0,1.0,14.0,157.0
economi,0.0,0.0,0.0,5.0,17.0
fact,8.0,9.0,9.0,11.0,316.0
wa,103.0,104.0,228.0,643.0,16377.0
total,9.0,2.0,4.0,13.0,369.0
ignor,1.0,0.0,2.0,1.0,31.0
could,35.0,31.0,52.0,176.0,1118.0
basic,21.0,27.0,61.0,193.0,4146.0
gain,3.0,0.0,2.0,29.0,721.0
enough,8.0,16.0,26.0,37.0,536.0
knowledg,16.0,18.0,29.0,165.0,3432.0
primari,1.0,1.0,0.0,2.0,43.0
principl,0.0,1.0,2.0,7.0,114.0
mani,17.0,31.0,40.0,72.0,2150.0
instructor,32.0,26.0,47.0,91.0,3266.0
enlighten,0.0,0.0,1.0,3.0,115.0
yet,2.0,2.0,4.0,16.0,365.0
