review_date,reviewer,star,helpful,text
2019-03-09,Arun,5.0,91.0,I got a comprehensive overview of what AI is and the meanings of various concepts being talked about in this context. Excellent course for one to start on a solid ground. Five stars! Thank you Andrew.
2019-11-05,Abhilash R N,5.0,77.0,Highly recommended for anyone wanting to start learning about AI. Explained in an coherent and intuitive way and will help lay the foundation for a lifelong learning experience and a new career in AI.
2019-03-25,Marcus B,5.0,73.0,"Brilliantly delivered, contains all the most important stuff to help practitioners (not AI experts) orient themselves. I watch a video or two every day, and I'm learning. Really enjoyable and useful."
2019-05-11,H.y. C,5.0,65.0,"I now are equipped with right attitude to AI projects, it's limitation and how it will affect our society/jobs. It is very beneficial for me to set up the right mindset to carry on to next AI courses. "
2019-06-16,Aleena A,5.0,60.0,I got a comprehensive overview of what AI is and the meanings of various concepts being talked about in this context. Excellent course for one to start on a solid ground. Five stars! Thank you Andrew.
2020-02-04,Pradip V S,5.0,56.0,Wonderful and very insightful course. Cleared a lot of doubts and misconceptions. Once again Kudos and Thank you to Prof. Andrew Ng for a wonderful course and educating the world to be a better place.
2019-03-03,Jonathan F,5.0,39.0,"Professor Andrew Ng is excellent at explaining complex topic into simple, easy to understand ideas that helps everyone learn about AI growth, limitations, and value to society and the world economy."
2020-06-19,Dr.Mohan P,5.0,29.0,In fact I was totally ignorant about Ai. I could learn the all the basics of AI. I have gained enough knowledge about primary principles of Ai. Many thanks to our Instructor  for enlightening me. nligh
2020-08-17,Noh B S,5.0,28.0,Simple yet very informative and interesting. The length of the course is just nice and the course has triggered me to learn more about AI. Thank you Andrew ! Great stuff! Keep up the good work in AI !
2019-04-02,Ankur G,4.0,28.0,"This is nicely put course but is an extremely introductory and elementary introduction to the idea of current AI wave. It does not lead to concrete learning that you can take back to work. It should have been offered absolutely free of cost including the certificate track given Andrew Ng's reputation and thus the demand for the course.
"
2019-08-21,Eliot A J,5.0,27.0,Everyone should take this course small step for a big picture. Andrew Ng is awesome when explaining things. Quality and background is good compared to other videos. Became fan of Coursera after this. 
2019-03-05,Raghvendra K,3.0,25.0,"I found this course to be helpful. But this is very basic. A direction on how to pursue the understanding further would have helped. Also, the fee for the content and was not that worth. "
2019-05-15,Sreenivasarao K,5.0,21.0,"This course is very informative and explained clearly with examples. I thoroughly enjoyed learning all the details related to AI. I recommend those who want to learn about AI to first take this course before jumping to learn the technical aspects as it will give the big picture.

Thanks, Andrew!!!"
2021-03-06,Muhammad H B S,5.0,20.0,Wonderful and very insightful course. Cleared a lot of doubts and misconceptions. Once again Kudos and Thank you to Prof. Andrew Ng for a wonderful course and educating the world to be a better place.
2019-10-25,Ugendar R Y,5.0,20.0,I am glad to have this opportunity to learn about AI and thanks to coursera for the excellent opportunity. I recommend everyone should take it to understand how AI can impact in the regular business.
2019-05-05,Zhang M,5.0,19.0,"Take whatever you are already knowledgeable in and learn some AI and do your area plus AI, then you might be more uniquely qualified to do very valuable work by applying AI to whatever area you are already an expert in. Really inspiring. "
2020-10-20,Regine C ,5.0,19.0,This class was so well-presented with clear and socially relevant examples. I was so engaged that I finished this in less than a week. Kudos in explaining deep concepts in such a uncomplicated manner.
2020-07-31,Brengshak M S,5.0,16.0,I must admit that this is the best online course that I've completed so far. The course is just simple and sweet explaining everything one needs to know clearly and simply without loosing its essence.
2019-07-10,Dev D,5.0,15.0,Excellent overview for anyone wanting to quickly get their arms around what AI is all about. It is possible to complete this course in a lot less than 4 weeks and I completed it on a 12-hour flight.
2019-07-20,Nelson A,5.0,15.0,Awesome course. Great lecture by Andrew Ng. I recommend all the developers also who are moving to AI or Machine learning
2019-12-29,Deepak C S,5.0,14.0,"Very nicely explained with examples by Andrew Ng... awesome articulation, great content and an equally challenging quiz to evaluate the candidates. Thanks Coursera and Andrew Ng for this great course"
2019-05-31,Md. H,5.0,14.0,This Course really interesting and very helpful for us who's came from another background without computer science background.I will said my friends to doing this course. 
2019-03-01,Kasidis S,5.0,14.0,"Great content, Andrew is one of the best data science/ AI teachers in the world. Many thanks for creating this AI course. Look forward to the next!"
2019-07-21,Lorwai T,5.0,14.0,Clear and concise course that gives a person with no previous knowledge in this field a good introductory grasp of AI systems. Highly recommended.
2019-03-02,Karan K,5.0,14.0,It's a fantastic course by Andrew. Everyone should take it to understand how AI can impact any software system.
2020-07-17 00:00:00,Ryan P,5.0,13.0,Good High-level intro for AI which is useful for not only those unfamiliar with AI and how it works but also useful for engineers to see how AI relates to the business & when it makes sense to use AI.
2019-08-31 00:00:00,Srihari M,5.0,13.0,This course helped me understand the AI from the basics. The procedures are explained very clearly to make them understand in a layman sense. I would apply the learnings at my work. Thank you!
2021-05-23 00:00:00,AKANNI D E,5.0,11.0,"I used to have an abstract idea of what AI is. Most times, all I can think of are robots when it comes to AI. The course is an eye opener for anyone who wants to understand AI in the simplest of ways.

"
2019-05-26 00:00:00,Muhammad A,5.0,11.0,Excellent course for anyone who wants to understand ai and how it is being applied across many industries. Five star for ANDREW NG and COURSERA.
2019-07-20 00:00:00,Carlos H V F,5.0,11.0,"  It is a fantastic course, although introductory. It is just the beginning and this course simply motivates me to continue my studies on AI.  "
2019-03-05 00:00:00,Édouard R,3.0,11.0,"I feel the content is too light on actual advice and too generic. I understand it was meant as a non-technical course, but only 4 weeks of content that can mostly be found in previous speeches made by the author does not represent enough value for the price, especially compared to previous courses made by the same author.

What is there is good, there is just not enough."
2020-04-10 00:00:00,Konstantinos T,5.0,7.0,"The course actually does what its title promises: Introduces everyone to AI. Well designed, with helpful examples, this course is the best boost for a beginner entering the world of AI. Andrew Ng has an amazing way to transform complexity into simple, understandable words. I definitely recommend it as one of the most valuable courses I have attended so far. Thank you Andrew!"
2019-08-27 00:00:00,Jean-Philippe B,1.0,7.0,"Very general, as a large chunck of it could apply with little change to other topics, such as IT in general, management of change etc.
in the end, you know quite little, just a thin, very thin layer of knowledge, not even enough for friends discussion.
To pay 45$ fo this is realovercharge, for 4 weeks with quite little substance each week."
2019-06-12 00:00:00,Jelle F H,1.0,7.0,too much opinion rather than statement supported by facts
2019-03-22 00:00:00,Sophie C,1.0,7.0,"Too low level information
"
2019-03-28 00:00:00,Bob C,5.0,5.0,"Great overview of AI, from what it can currently do, to how it does what it does, how to ""train"" AI, how to consider using it in you work and the societal and employment implications of AI. One of the major reasons I took this course was because it was presented by Andrew Ng, a foremost expert in AI technology.  The course was broken down well into ""bite-size"" chunks and ""easy to digest."" I would recommend it to anyone who wants to better understand this technology."
2020-05-20 00:00:00,Bhaskara R G,5.0,5.0,Andrew explained the basics of AI very well with live examples and its implications to our lives. He also included technical videos to curious minds. What I liked most is finding the overlap area of AI and your professional vertical skills and working on them. His explanation of how bias can impact AI programs and what are the things we can do to reduce bias is awesome.  This course motivated me to go the whole nine yards in deep learning.  Keep learning life long.
2019-07-09 00:00:00,Binay S,1.0,5.0,"Not that much of good .
"
2020-07-26 00:00:00,Nitin S,1.0,4.0,Waste of money hardly talks anything meaningful about AI. Better read few articles on AI then wasting money on this course 
2020-07-09 00:00:00,giri b,1.0,4.0,Nice 
2020-02-01 00:00:00,Vivek N,5.0,3.0,"Just the Right Kickoff and Momentum as Andrew Ng says as first step !!!!!!
The way he delivers the material is just tooo goood.
I completed the course i think more fun way .
This is first in line for my AI journey and will follow the tips as mentioned by Andrew to see how AI can be used in our current processes .
Regards
Vivek Nagal "
2020-07-13 00:00:00,Khandaker M A,5.0,3.0,"This course, by far, is the most interesting introductory AI course I have ever done. It really shows the way to accelerate job skills on AI companies. For those who want to have a new AI startup, this course is a must. So don't waste your time, enroll as early as possible."
2020-12-31 00:00:00,Umer K E ,5.0,3.0,"I am so satisfied that I chose this course to begin my learning of AI. Highly recommended for the starters, The way of explanation, use of easily relatable examples and fruitful advices in the last week of this course are the things which I loved most about this course."
2021-05-23 00:00:00,Rahul V K,5.0,3.0,"
Great Course to start with !I am so glad to start off my AI journey 
with this course. It helps to get a comprehensive overview of what AI is
 and its impact in the society. Thanks Andrew NG, Coursera and 
DeepLearning.AI for providing such a wonderful course.

"
2020-07-14 00:00:00,Sagar d,5.0,3.0,Great course - both thoughtful and concisely focused on the essential and complex environment around AI alongwith an introduction to the present stae and projected state
2020-07-14 00:00:00,Yashuv B,5.0,3.0,This course is the best if someone want to know concepts behind AI(new elctricity). It would be helpful if this course is taken before getting into AI more.
2020-05-29 00:00:00,Mariyada K ,1.0,3.0,I did not find much information 
2019-11-21 00:00:00,sobia p,5.0,2.0,"I found this course very informative, specifically for the one like me, who is starting this AI from scratch. Andrew Ng provided a complete picture of how AI can be practically implemented for the betterment of society. I would like to suggest if some practical videos of AI applications could be added like how Alexa, siri are being used. As being a national of developing country Pakistan where technology is not very common. These devices are very expensive and are not frequently used, so a exposure is required. And another suggestion concept in case studies in which step expertise of software engineer, Machine learning engineer are required need to be emphasized. What kind of hardware support is required need to be discussed for the development of application Otherwise it was perfect. Thanks Andrerw Ng.
 "
2021-03-22 00:00:00,Danielle D C,5.0,2.0,"This course did an outstanding job of conveying and demystifying what AI is, its limitations, and where we are at in terms of advancement in Artificial Narrow Intelligence (ANI) vs. Artificial General Intelligence (AGI). It was particularly helpful in defining common terms & the processes involved, that you would hear being used in various discussions, webinars, etc surrounding Data Science & AI. These include Deep Learning, Neural Networks, Machine Learning, Technical & Business Diligence. Overall, Professor Andrew has done an impeccable job of explaining these concepts in a simplified way, which will actually stick with you for the long term. Thanks again Professor Andrew! "
2019-09-12 00:00:00,Jungyong U,5.0,2.0,"There has been loads of hype about AI from the media. For those who have not learned Artificial Intelligence, that is quite confusing on whether this technology at the moment might be feasible. However, I have now realized how AI works and where it might be needed to make the world a better place. Thank you so much, Prof. Andrew Ng. "
2020-07-14 00:00:00,Zhangrui W,5.0,2.0,Great course for beginners who are curious about AI. It gave me a general understanding of AI. The lecturer can clearly explain concepts and theories. 
2019-07-21 00:00:00,Rory W,5.0,2.0,A great course pitched at the right level ensuring inclusive to anyone wanting to learn and benefit from this topic.
2019-07-20 00:00:00,Vishwanath N,5.0,2.0,Just Excellent! A must do for professionals and students who are interested in Technology.
2019-07-21 00:00:00,VAIBHAV G,5.0,2.0,"Great course to get an overview about What is AI, its future aspects and much more!"
2020-04-06 00:00:00,Zulkafil A,5.0,2.0,A brilliant course for introducing AI to the masses. AI for everyone indeed.
2019-12-23 00:00:00,T T,5.0,2.0,I'd recommend anyone who wants to have AI in your career take this course.
2020-07-14 00:00:00,Ahmet S K,5.0,2.0,Thanks for the amazing education.
2020-07-14 00:00:00,Kardam R J,5.0,2.0,very good introduction of AI... 
2019-07-21 00:00:00,Lu C,5.0,2.0,Very good basic introduction.
2021-01-06 00:00:00,Benjamin I,4.0,2.0,"I chose ""AI for Everyone"" because more than half a million people took this course. I am a geographer and public policy analyst with limited data science knowledge and I found this a useful beginner's course for people who are non-experts.  It mostly covers the basic AI terminology in the first week, then it shifts to AI project management and how to introduce AI to your organisation/business in week 2 and 3, and in the last week it briefly talks about societal issues with AI such as bias and discrimination. I would have appreciated if the first week was a bit more technical. Instead of just mentioning the terms as an overview, they should have spent a bit more time explaining AI methods like machine learning, training and test data, deep learning, neural networks... Also, it would have been cool in the concluding session of week 4 to outline what should be the ""next steps"" for people who want to get more into AI. What programming languages and tools  are a must for beginner level learners of AI, etc...all in all it was a decent course. I would still recommend it to anyone who is interested in AI but has no idea where to start from. But if you want more than a basic overview, you will need to sit through another course that is probably longer and more in-depth. BTW, it takes approx 1.5h to complete one week of materials in this course. So it was like watching 4 movies. Goes faster if you increase the speed of the videos. "
2021-05-13 00:00:00,Marcelo M C,4.0,2.0,"Very well structured. Clear explanations. Not only a great introduction to AI to anyone, but also a good foundation to have a complete overview from the point of view of executives and managers, including organizational impacts and an AI framework based on experience to move forward in any organization.  Andrew conveys a powerful message and is very balanced in terms of what can be done or not with AI and its impacts. Thanks Andrew and deeplearning.ai for such a great content.
I just found the course to be shorter than I would have expected, even for an introduction. I finished rather quickly. It is planned for a 4 week duration, but probably in a week or two, you can achieve it.   "
2020-07-07 00:00:00,Akshat B,4.0,2.0,"After I did this course, I'd say I skimmed over a book explaining what AI is, what it does, how it can be used, what had been done, what can be done, what should not be done. I say skimming because it should discuss a little more in technicality and not completely in layman terms. nonetheless, I learned things I didn't know and I am happy about it."
2020-07-14 00:00:00,Sean O,4.0,2.0,Good overview of AI.
2020-11-03 00:00:00,Heather L B,3.0,2.0,"This is my first time taking a course dedicated to explaining the machinations of Artificial Intelligence. It was great to see some visual examples of AI and how it accumulates user data and other forms of information, but the course is very information-dense and at an more advanced level. This is a great course for those who are in engineering, programming, computer analytics, and robotics. But for others who are taking the course for curiosity or to learn more about the hype of AI and its automation on jobs, technology and consumable resources, be sure to take your time watching the videos and jotting down notes. The pre-recorded lectures can get wordy and a tad overwhelming. I believe this course will do better more visual examples, videos and web link resources than with a plethora of videos which is 9/10 talking and 1/10. visual learning. On a more positive note, I do appreciate and like that Professor Andrew Ng is passionate about AI and his expertise! "
2019-05-10 00:00:00,Alexander D,3.0,2.0,"The course is a high-level overview of the field of AI and data science. While it is to be expected that in an overview course one would cover many issues at a general and non-technical level, I think the course could benefit from being shortened to one or two weeks and focused more on the technical aspects,, such as, for example, the various applications of AI/machine learning and what the state-of-the-art is in the field. Much of what last week's videos focused on would be better left to economists who specifically study these issues (e.g., productivity, impact on jobs and developing countries, etc). Andrew is clearly an authority on AI, but that does not make him an authority on economics. Overall, I though the overview was useful, but I would shorten the course and exploit the instructor's comparative advantage in understanding the technical aspects. "
2019-03-06 00:00:00,Ian H,2.0,2.0,"Pretty basic and not very insightful. Some interesting videos and use cases, but was expecting a little more and a bit more challenging. "
2019-10-14 00:00:00,poornachand,2.0,2.0,Course Content is Just OK. Give a simple idea about AI.
2020-04-22 00:00:00,NATHAN W,2.0,2.0,"kind of vague. not much actual substance.
"
2021-04-27 00:00:00,Udaya B P,1.0,2.0,I didn't get a certificate after completeing the course
2020-07-12 00:00:00,ospari m,1.0,2.0,This course is very useful for these days technology. 
2020-07-18 00:00:00,shreya t ,1.0,2.0,I'm not getting my certificate by mail
2020-05-16 00:00:00,Battu u,1.0,2.0,"Nice. 
Good experience"
2020-07-19 00:00:00,Woo C H,1.0,2.0,not pratical
2020-09-26 00:00:00,Tejas M,1.0,2.0,Nice
2020-06-18 00:00:00,Pradheep S,1.0,2.0,Umbu
2020-05-04 00:00:00,Prashant R L,1.0,2.0,Nice 
2022-04-24 00:00:00,Ian H C,5.0,1.0,"Me hacía una gran ilusión tomar este curso pues la Inteligencia Artificial es un concepto que me ha interesado desde hace una cantidad considerable de tiempo. Sinceramente, al igual que otras personas, tenía ciertas dificultades para entender de forma acabada cómo era realmente esta tecnología (esto involucra la programación tras ella, sus clasificaciones, sus usos y, en definitiva, cómo estas aprendían a partir de datos).

Un excelente curso, todo lo que se aborda en él está muy bien explicado. Muchas gracias por todo."
2022-02-16 00:00:00,Sp D,5.0,1.0,"I​ thoroughly enjoyed every lecture of Andrew and really glad that I took this course. Very easy to follow and understand. A must course for anyone wishing to explore AI. Thanks for the course, Andrew."
2022-03-31 00:00:00,Ruben V,4.0,1.0,"Very good for beginners. Will be using a lot of the topics covered to talk to non-technical people about AI :)
I've met too many people that think AI will turn into killer robots XD"
2019-04-30 00:00:00,Mudit B,3.0,1.0,"Very good course

Postitive:
Clear commentary and methods of communication (visual, audio, etc)
Good pace for something relaxing
Easy to understand subject matter explained in a respectful way

Negative:
Locked quizzes
Some minor UI bugs when switching tracks, the checkmark doesn't activate. Also, the scrolling on page should keep video anchored, while speech-to-text scrolls.

Suggestions:
Unlock quizzes. People aren't going to pay $ for quizzes, but it helps in feeling satisfied. Locking them makes it feel like an attempt to get money, which makes sense if someone wants the Certificate, but not for quizzes. For example, should a school textbook (being borrowed from the library, perhaps) eliminate practice lessons with answers, and only provide quizzes if the book were used in a paid, formal educational setting?
If the goal is to monetize the course, then it makes sense. In that case, thank you for providing the content for free. I found it valuable and interesting."
2022-04-11 00:00:00,Shobha,3.0,1.0,"The course is very good. But it is very basic, for the amount paid. Could have been a little more advanced. "
2019-03-24 00:00:00,Tushar K R,5.0,0.0,"The lecture for AI course as delivered by Mr Andrew was excellent. And explained beautifully and I understand that it is to sweep the world. Considering its bias possibility and adversary attacks, it is important to get it controlled through licensing or Government enforced guidelines process. Depending on the level of AI, like Robotics in the space, it is needed to be under full control of UN and respective government so that fruits of the Technology can be beneficial to humankind all over the world. 
BBC documentary on world war II delineates destruction of humanity by people whose consciousness level could not be elevated. Nobody knows who is the enemy of the other side. Rishi Aurobindo who was the spiritual exponent died on 05 Dec, 1950 in his life-time was deeply meditating over the reason of the absence of compassion in some segment of the mankind. As theorized and practiced by Rishi Aurobindo - that consciousness level can be raised from inert matters and sees elevation to plant, animals, mankind and ultimately God through invoking of all-pervading divine forces and power. This principle if can be propagated to large mass of people will do good for the world along with evolution of AI."
