review_date,reviewer,star,helpful,text
2019-08-22,GANGIREDDY K K R,5.0,100.0,"This course is simply awesome. If you really want to learn something worthy, then this course is for you. It has no answers anywhere to copy, so we have to work hard on it and practice the material."
2017-12-01,Cornelia R,2.0,83.0,"I have working experience with Excel for many years and am a Mac user. I signed up for this to get more tips and a refresher on how to best use Excel. I initially learned using Excel in Windows, have been a Mac user for years. Most excel sheets I worked on would be revenue forecasts, pipeline etc.
This course hasn't been great so far for a Mac user. I constantly have to stop and double check if this course actually mentioned the right short cuts (the UI is on Windows, they mention Mac shortcuts). For example, in Lesson one I tried to find Flash Fill for ages - turns out, there's no Flash Fill available on Mac. Very poor for a course. You should offer to separate ones - one for Windows, one for Mac. Same in final exam in Lesson one: I answered correctly for Mac which was a wrong answer for Windows. 
I wouldn't recommend this if you are a Mac user. "
2020-06-11,Pranali D,5.0,53.0,Practice make permanent is the true line .this line I'm also keep in mind sir.It's very very helpful and the video presentation is really awesome.simple language and more information.thanks for these.
2018-03-19,Manu G,5.0,46.0,A great course for beginners in MS Excel. Introduces one to the various functionalities that Excel has to offer. Course content and structure are excellent and helps one to learn at an optimal rate.
2020-06-29,Kamrul S,5.0,44.0,This is an amazing course for learners. I am having a lot of fun completing this course from the starting point. It is very much enjoyable and the way the course teachers deliver every lecture superb.
2019-08-29,Robert B,5.0,42.0,The course was defiantly more than I expected. It not only strengthened what I did know about Excel but it showed me several options that I was not using or haven't found. I would highly recommend it.
2020-06-09,Keshav G,5.0,40.0,Very good teaching of fundamentals. Everything was explained in a really structured manner. Final assessment was like cherry on the cake as it helped in revisiting what has been taught over the weeks. 
2020-05-05,Vistasp E,5.0,33.0,"An excellent course for anyone wanting to learn excel. I promise you that you shall learn something even if it's a basic operation like copy and paste. Well explained, and properly structured course."
2018-02-24,Alexander J V,5.0,31.0,This course demonstrated a solid overview of the core skills necessary to use Excel productively. I would recommend it to anyone looking to start using Excel effectively for data management tasks.
2020-11-11,Valeria J,5.0,23.0,With this course you learn how to use Excel in your daily life. I recommend it to everyone that starts using excel and the ones that want to become better in understanding how it works and be quicker. 
2020-06-08,Drashtant K ,5.0,23.0,Amazingly crafted course with interactive sessions that pushes you to work things out and practice. Practice makes permanent at all costs. Must do course for getting to know the basic stuff in excel.
2019-06-01,Sayid N,5.0,22.0,"this course is amazing, the way of teaching, step by step, no complicated information at once, great knowledge for the learner different backgrounds. it suits me very well. Like it."
2018-07-28,Syed Z H,3.0,20.0,Focus too much towards windows it was hard for me to do it on Mac.
2019-05-05,Anthony G,5.0,19.0,"I have no experience at all with Excel but after this wonderful course, i was able to pick it up pretty quickly! No more being intimated by being asked to have excel experience on job applications!"
2020-04-28,Harshul B,5.0,16.0,"Amazing course,
I would like to highlight some of its amazing attributes:
>> Learning from the basic to advanced  level : 
The course takes you on an adventurous voyage from basic tools to advanced and  In-depth knowledge of each tool.
>> Quiz after each videos : 
The best practice to test your knowledge is to take a quiz. Each quiz is a combination of  task and MCQ with not a boring or dull direct questions but in fact, are loaded with fun and application knowledge-based questions 
>> Assignments  : 
After each week progress, an assignment is provided to practice which is the best way to explore and apply knowledge gained in the module. They are based on continuous practice and reflection of knowledge .

"
2021-02-09,Daniel T,5.0,14.0,"Really well done!    You kept me interested and motivated, and that's not easy to do!   
I enjoyed the balance of instructional videos and hands-on exercises, and I'm excited to try the Intermediate now."
2019-12-19,Ravindra S R,5.0,14.0,"It's a very helpful course for me as I got to know how much I learned via my work experience and what all other things I need to learn to improve my excel skills. 
Content and syllabus is amazing."
2018-01-05,Ferdinand L P,5.0,11.0,"Excellent course for either refreshing Excel basics or for Excel novices. The course is well-organized, well-paced, has clear and too-the-point videos and additional material. There are good exercises to do before the assessments each week and before the final assessment. As a regular Excel user, I enjoyed the extra Ninja tips and learnt new things by knowing more short-cuts so as to work more efficiently. The course presents only the basics so you need to do the follow-up course before becoming a Excel Jedi. 
The only ""dark side"" comes from Microsoft which does not give full functionality to the Office for Mac users and this is also affecting the use of Excel. 
The course focuses primarily on Windows users, though compared to other Excel courses (on EdX), in this course the Excel Jedi lecturers are providing also suggestions how the various Excel functions etc. work or work differently or do nit work  in a Mac environment. The forum provides also tips from other students. "
