review_date,reviewer,star,helpful,text,course_name
2021-03-22,Eva S,1,228,"Too many introductory lessons that aren't useful at all. Week 1&2&3 won't teach you anything. Too much talk and not enough useful information being said. I don't really care about the personal stories of Google employees, I'm here to learn something.",foundations-data
2021-03-14,Trevor T,1,89,This was extremely basic and not much help. I do not see how this will contribute to finding a job. ,foundations-data
2021-03-11,Lanya M,4,60,"I liked the videos a lot, I just didn't get the point of the journal entries. ",foundations-data
2021-03-26,Keragan C,3,58,"Overall, I thought it was a great introduction to the topics that will be covered in the certificate. A couple of areas for growth in my opinion:
1 - For the quizzes when you get an answer wrong, ideally, you are provided the right answer so you can learn from your mistake, but alternatively, it would be nice if the subsequent text included a link to the section with the information because I felt some of the answers were difficult to go back and find.  
2 - I don't like that the glossary builds on itself as you go through the course because then you end up with multiple incomplete glossary documents. It would be better to just include one full glossary to be downloaded, perhaps with highlighted colors corresponding to their respective sections in the course.
Thanks!",foundations-data
2021-03-21,Sandy L,2,49,"This course felt very basic. It could have been condensed into 2-3 weeks. The beginning concepts of data life cycle, data analysis skills, and all the material covered in weeks 1-3 could have been condensed to 1 week and weeks 4-5 material could have been condensed into another week. I don't feel like I've learned anything concrete in this course because weeks 1-3 brushes on how to think as a data analyst, and weeks 4-5 only slightly brushes on spreadsheets and SQL. In addition, I looked over the discussion forums, I don't think participation in them are helpful. It says participation is optional, but it marks me off and says that I haven't completed the entire course. The good thing is that I can watch videos in a higher speed and can fast forward to the the next weeks if I move ahead. However, I worry that the course might be dragged on and some students can lose interest. I enjoyed the stories that the different instructors shared, and can feel that they are personable people. I appreciate the work put into this! ",foundations-data
2021-06-25,Charli a C H,5,44,This gives a great foundation for Data Analytics. The instructors do skim over everything and I would have liked more detail but most of what I wanted to find out more about I was able to find online. ,foundations-data
2021-08-08,Jamshid N F,5,40,"Awesome class. Found out why I'm always analytical about things in my personal life and the critical thinking that this provides. I love it and hopefully this will help me land my dream job at Google!


",foundations-data
2021-06-01,Alex C,5,37,"S​olid ""big picture"" refresher course before getting into the more technical stuff I'm sure down the road, even for folks with backgrounds in math and science but haven't used it years (okay, decades).",foundations-data
2021-04-25,Yatan U,5,36,"To all the instructors, thank you so much for taking the time to create this resource. The high-quality production and real-world examples make this the best data analytics course I've enrolled in. ",foundations-data
2021-09-10,NILESH S C,5,32,"i love the course as it helped me understand the importance of asking the right questions, understanding the problem and expectations of stakeholders and impotance and the right way of communicatilon.",foundations-data
2021-06-24,Kenny W,5,29,Awesome class. Found out why I'm always analytical about things in my personal life and the critical thinking that this provides. I love it and hopefully this will help me land my dream job at Google!,foundations-data
2021-03-26,Tushar D,1,26,A lot of small talk and very less knowledge,foundations-data
2021-07-30,Thahera A,5,25,"I just finished the course. This course was great not only the materials but also the instructor.
Once again, the course so mind blowing. I feel more confidence to do data analyst. 
Thanks Google ",foundations-data
2021-09-01,Nur A M,5,20,i am really happy that i have completed this course thanks to coursera i am willing to enroll the next courses to fullfil my knowledge and dream.#thanks google and coursera to give me the opportunity.,foundations-data
2021-04-17,Rimvydas S,5,20,I think this first course is incredibly well structured with a very good approach of covering all the steps in their most basic form and then advancing into them while having the big picture in mind.,foundations-data
2021-03-22,Parthib B,5,19,"The course was really insightful. Knowing tools is not enough, understanding the business scenario and then applying technical knowledge to solve any problem is what a data analyst is expected to do.",foundations-data
2021-03-13,Rachel V,3,19,"I thought the videos were helpful in getting a basic understand of data analytics and what to look forward to. However, I was hoping to learn more from most activities. The journals and self-reflection sometimes don't give much value, although I suppose they get you thinking like an analyst a bit. When giving an introduction to spreadsheets and databases, it would be significantly more helpful if the activities were more hands on. I thought that would be the case when they introduced Qwiklabs, but no. Also, I noticed a time or two, I wasn't sure how I was supposed to input an answer, i.e. I'm sure I knew the answer, but just didn't get credit for it because of how Coursera wanted me to write it.",foundations-data
2021-04-12,Manoj K,5,16,"This course is awesome, you will be taught by some of the leading data analysts at the google and also they provide some valuable insights about the whole career and opportunities in this field.
",foundations-data
2021-11-09,CRICKET O,5,15,"This gives a great foundation for Data Analytics. The instructors do skim over everything and I would have liked more detail but most of what I wanted to find out more about I was able to find online.
",foundations-data
2021-03-12,David R,3,15,"Very basic, integration with external tools wonky, quizzes often seem to grade valid SQL as incorrect and don't give feedback to help learners understand what syntax the program expects",foundations-data
2021-05-23,Teddy,1,14,"I was hoping to get some practice but it is all talk and very little practice, I couldn't believe it when it said the course is completed and I have gotten my certificate. I don't feel comfortable to apply for a job. I am googling and watching YouTube videos  to learn what I supposed to be learning here. I learned nothing here except some definitions I could have googled. kinda bumped and sad",foundations-data
2021-03-14,John G,5,13,"It was an introductory course, so don't expect it to be so difficult. Videos are made very well. Tony was fine. Perhaps more questions could be provided during the videos to make sure people understand/pay attention to them. As in other Google courses, the discussions seem like a waste of time as many people skip them and there doesn't seem to be any punishment for not participating in them. Finally, it is just in the honor code that somebody writes in the journal. From a pedagogical perspective, it seems like a wasted opportunity.",foundations-data
2022-05-14,Sheena c,5,13,"I really love how they explain concepts about data, share experience , easy to understand and improved my foundation about data. The assignments and quizzes really helped me in undestanding the course",foundations-data
2021-05-18,praveen b,5,13,I really very enjoy And having fun by learning this course and learn way much almost everything about the course thank you coursera for this certificate and thanks google team to teach me this course,foundations-data
2021-03-16,kenneth p,5,13,Very nicely presented and cleared all the doubts I have personally. Majorly touching all the basic points to cover to topic of Data Analysis. Love the course and looking forward to complete it ,foundations-data
2021-04-05,Juan P,5,11,Great intro and the words of encouragement are really appreciated! Each of the instructors gave their personal touch and I felt connected with all the struggles and excitement. I LEARNED A LOT!,foundations-data
2021-06-06,Jeffrey A B,1,11,A complete and utter waste of time. There was perhaps 5% useful info (the SQL portion) and 95% garbage meant to waste everyone's time to create the illusion of academia.,foundations-data
2021-05-26,Danielle L,5,10,Great first course. So much good information that was well presented and easy to digest. Awesome videos and assignment. I feel I am going to be well prepared when I am working for GOOGLE.,foundations-data
2021-05-17,mark m,1,9,"Claims about people being hired as data analysts with no degree or experience are belied by lack of evidence. You can check jobs via Course 8, Wk 4. ""End of certificate checklist."" ""Create your job profile."" I don't see any no-deg/no-exp jobs. None from Google. No success stories either. ",foundations-data
2021-03-14,Danial A,5,8,"Oh man I have never been this excited and anticipated for something in my life before this. And the introduction course was right on bulls eye. It included all the key ingredients necessary to make a great course. Lectures were point on, insights by Googlers were great, the weekly challenges especially the course challenge was really well designed. Only complaint is to incorporate more interactive activities in the course. This is Google. I expect a bit more. probably!!",foundations-data
2021-03-28,Niraj S P,5,8,"Even the least of your interest in this field will be converted into the fixed career field after doing this course .
I will encourage everyone to take a look at this beautiful side of DATA . ",foundations-data
2021-06-05,Shivam S,1,8,"The course is not what I imagined it to be, throughout the course the same steps of data lifecycle are repeated over and over again.
When I saw the course I was expecting it to teach me how to think when approaching a data analysis task, it fails to do that. 
There are limited case studies spanned over 5 weeks! 
I would suggest it will be better, more useful to have the theoretical part restricted to one week and use the other four to dig deep into cases studies, say one case study each week and really take us with you through  the journey of that life cycle with proper examples. Otherwise I believe this course has failed to teach me 5 weeks worth of knowledge. ",foundations-data
2021-08-14,Talha A,1,6,"Do not make people fool, I applied for financial aid for the Google Data Analytics Professional Certificate and it is approved, had complete 1st course and now for the second course you are telling me that I have to upgrade or purchase it. What is this? However, all 8 courses are part of the Google Data Analytics Professional Certificate. Please clerify this.",foundations-data
2021-04-01,Makarand P,1,6,"lots of theory and very minimal hands-on experience.
This certificate wouldn't prepare you for any analytics job.",foundations-data
2022-07-11,Palani R,5,5,"This training has been incredibly helpful to me. Even though the term or precise stage is unclear, I have been working as a data analyst for a while. After taking this course, I feel really competent.",foundations-data
2021-03-14,Avi G,5,5,I thought there was a lot of useful insights into things to watch out for and ways to avoid common pit-falls. Repetition on the important points seemed well timed and reenforced. ,foundations-data
2021-03-15,Balagangadhar R K,5,5,"A Good Introductory Course on Data Analytics. I enjoyed it. Thanks, GOOGLE & Coursera",foundations-data
2021-03-18,Adrián K R,2,5,"Very dense, key information could've been explained in 1/20 of what the course has done, anyways, im looking forward to the programming part !",foundations-data
2021-10-07,Malcom L,1,5,"An utter waste of time. Instead of a course, this could have been packed in a two page PDF. No pratical takeaways or uses in real life. Essentially, treats the learner as a ""receptacle"" to be deposited in and then made to ""regurgitate"" information in useless quizzes. Zero connection to reality. 
Interviews with people no one has interest in,  feels more like a vanity project than something designed to ""educate"".",foundations-data
2021-03-18,Giannis D,5,4,"For a total beginner starting with this foundational course makes you realize that Data are everywhere and exciting to dive deeper into them! Course's instructors are everyday people with knowledge and passion to share, motivating you at each step. Detailed and oriented in self progress with quizzes giving you that achievement feeling! Totally recommended.  ",foundations-data
2021-03-14,SHREY V,5,4,It was a fun intro course to data analysis. I have already done some courses prior to this course so i had to cruise through it. But if you are completely new to data analysis field this is a great start.,foundations-data
2021-03-14,Sean B,5,4,"Great course, well organized and the people involved represent a diverse cross section of professionals working in diverse areas.",foundations-data
2021-04-01,M & M,2,4,This course is just a basic course designed by google but the certification is given by Coursera not Google. It was advertised as if Google will issue the certificate. ,foundations-data
2021-05-19,Heddi C,1,4,"I am currently studying this, much redundancy, it could give the full glossary at the beginning.  The  speakers/coaches are great, but the speech/text is overly lengthy, using points/graphics would be more efficient with the use of the speakers/coaches.  It is annoying like a fly buzz buzz, unsure if I will complete it.   So far, I just made it to Week 4, but Qwiklabs in Week 4 does not work, and so far their technical support does not give me the courtesy username/password that is supposed to be given for this Coursera course, and I am on a budget.  This course does not inspire me whatsoever.  If I do not complete it, I will ask for a full refund.",foundations-data
2021-06-12,Bubíková K,1,4,This was just a waste of time. I agree with others 1-star-raters who stated that all topics could be comprised into one or two lessons. I expected much more practical work and not only never-ending talking and unuseful definitions.,foundations-data
2021-03-25,Hyunjin J K,5,3,"I just earned this first certificate! I really enjoyed this course. I've been doing market research as an independent analyst for over five years. My role was focused on the ""analysis"" part. This course showed me a bigger picture of data analysis and opened my eyes to a wide range of possibilities as a data analyst. I am very excited about taking the next certificate courses to get trained in essential skills that will be useful during the entire data analysis process!",foundations-data
2021-03-31,Mohamed A,5,3,"Thanks a lot to Google they spend tremendous efforts on the content, and the instructor was extremely helpful and support I appreciate this effort and looking forward to my next step in this program.
VIVA GOOGLE🙂",foundations-data
2021-10-08,Vishal A,5,3,"Very good course, giving beginners an overview of various aspects of data analysis, as well as having data analysts share their experiences, which is a great way for learners to get to know the field.
",foundations-data
2021-05-06,Bushra K J,5,3,"I am so happy for became a part of this course. I learn so many new thing from this course, thanks to Coursera and Commonwealth of learning and also course teachers , they all are very amicable.",foundations-data
2021-03-14,Ellen C,5,3,This course did a fantastic job of painting the big picture of Data Analytics. The overview helped reinforce my decision to take the course and motivate me to keep moving,foundations-data
2021-03-29,Eyad S,3,3,"there are may repetitions, some video and reading materials are useless and a waste of time.
the design of the course into 5 weeks is too much
you can squeeze the contents in just a week  ",foundations-data
2021-05-05,Amy M,2,3,"I feel like they spent a lot of time trying to convince you that this is interesting and important, instead of delivering interesting and important information. Might be good for someone who is is high school or has never thought about these topics, but didn't work for me.",foundations-data
2021-05-17,Martin P,1,3,"Too heavily based on terminology which is not really used or needed in practice. Why to ask how many ""steps of data analysis"" there is? It is just your oppinions. It doesnt have to be 6. It can be easily 12 or just 4... Some questions in quizes were missleading or even wrong. For example: when you asked if ommiting certain data will lead to fair analysis. Your answer was not to check this column which is not correct. For example if you know that for some period of time, the data was not collected correctly (and you have no way of correcting this), you MUST ommit this data",foundations-data
2021-07-07,Varun M,1,3,"I found it as supremely boring course. Same lines again & again & again & again.....I wonder whether they are checking my patience or just wasting my time. Perhaps they have strategically stretched it to 5 weeks which is basically 2-3 days course at most.

On the other hand Coursera platform itself seems okay, despite some flaws.",foundations-data
2021-07-24,Juan E M,1,3,"This course should consist of just one video of 30 minutes. Very introductory with a lot of secondary information. Lastly, the amount of politics and propaganda is unbearable.",foundations-data
