review_date,reviewer,star,helpful,text
2019-09-05,Justin G,1.0,138.0,"This is bad.

This is objectively bad.

The quality of the slides? Bad. The audio quality of the presenters? Bad. The presentation itself? Bad.

Bad. All. Around. I expected a LOT more from IBM. 

If you're going to build a course in English.. use primary English speakers. 
If you're going to build a MOOC module? Build it. Don't slap prerecorded training from internal crap into a module and push it out.
The speakers gender has absolutely nothing to do with this course, nor should it hold any weight or impact. Knocking and police sirens? Really??

No. Just no."
2019-10-01,Ian L,1.0,103.0,"I have been stymied by the poor quality of the course material and the lack of proof-reading that has gone into compiling these quizzes. I don’t mind the occasional typo that gets through (those happen) but when I have to select THE WRONG ANSWER in order to get credit/point for the question, that is a problem (Please see Week 3, Practice Quiz: Incident Response). I am unable to see feedback on failed quizzes in order to find out what I missed (Please see final quiz in Week 2 – Many people in the thread have also struggled with it as well). I have no faith in the organizers of this course for the following reasons: (1) poor audio quality that is unintelligible in parts, to the point that even the transcript underneath the video says “[INAUDIBLE]” at times, (2) the lack of instruction on all topics while still giving us questions in the quizzes that ask about concepts that we didn’t cover, (3) the obvious lack of proof-reading where the right answer is wrong and the wrong answer is right. I am disappointed because this is not the standard I am use to with Coursera. The Google IT Support certification was of excellent quality and well executed. It was a challenge but it was passable. This IBM badge however has been a nightmare. I would strongly advise that someone at Coursera Support reads the threads and discussion forums.   "
2020-01-03,Prateek S,2.0,45.0,"I would like to demonstrate the course in both the ways, it's up to you wanna learn from IBM or not. 
This course is very informative for me (cause I've zero knowledge about it!) that's why it was informative for me. The resources they are providing is very good. Here you will interact with some new terminology which is very rare to find in any blogs or any other platforms over the internet. So this is the good side of the course.
Now I would like to honest with you guys, this course is not properly maintained. It seems like somebody in a hurry collects all the materials and just puts it through in order to do the formality. The audio quality was very poor, so we have to depend either on subtitles or any DJ speakers (Yes, I'm not kidding. I'm serious). Apart from that transcriber itself couldn't able to do the correct subtitles because of poor audio quality. On Assignment 1 & 3, they have some type of grading problem, and also feedback for that is not available. There is also no mentor interaction, they just made video lectures and uploads on Coursera, that's it. Well, in most of the discussion forums, I've solved the doubts of most of the problems of students.
Now, the question arises, why the hell in Universe I dared to complete the course. Its because people haven't reviewed it in a very proper manner. In the very beginning, it was all perfect, but after the last video lecture of module 1, the main game starts. Sometimes I decided to quit, but my colleagues, who are also studying with me, and actively participate in discussion forums, advised me to complete the course. It really motivates me and pushed me to complete the course.
Well, are you going to the specialization? The answer is yes. I'm going forward to the specialization.
I hope, this review will really help you out. 
Thanks and Cheers!"
2020-02-05,Matthew F,1.0,42.0,"Terrible sound quality, muffled descriptions, some lectures recorded in someone's bedroom (it seems) with the neighbours banging on the door in the background, plus the quizzes do not tell you what you got wrong (like all the other courses Ive done). A very dry topic but no effort has gone into making this course interesting. "
2019-10-31,Amrit S S,1.0,38.0,"Horrible course. Bad instructors, terrible audio and visualization. IBM could have done much better. Shame on you."
2020-02-08,Chantal L,2.0,26.0,"This course was very hastily put together. Two of the speakers were difficult to understand. One repeated himself so often that after a couple of videos I started to loose my enthusiasm. The speaker knew his material and had a nice friendly voice but he lacked specific vocabulary and consequently in a many places the ideas he was discussing got lost. Lacking essential vocabulary, he kept going back and changing words, confusing the issue. His explanations were difficult to listen to and read.. To make matters worse. In several instances, the accompanying transcripts of videos didn't match what was said,  and could have been edited to clarify what the speaker was trying to communicate, but were delivered nonetheless. I had to transcribe every video which was both tedious and frustrating. Some videos text was too fuzzy to read.  Lastly, every video began with the same static graphic of the hacker was uninteresting and boring. Overall, this course lacks development and polish.  IBM is capable of better! "
2020-12-25,Ritika V,5.0,24.0,If you want to learn cybersecurity and you have no idea about that. Then this is the best course which covers all the basic topics and provide you a best knowledge about cybersecurity and their tools.
2020-08-15,Aditya G,5.0,22.0,The reading link to Week 03's Framework and their purpose is Broken. Please Fix it. Everything else seemed perfect. I would recommend this course for people who think of starting their careers in CyS.
2020-02-19,Patrick R,1.0,22.0,"This course was rather painful to go through for multiple reasons. Main reason is the poor quality of audio and the slides. Additionally the presentation skills of the preseters was subpar, especially when it comes to proper command of English. The topics were kind of thrown together. Personally if I were IBM I would not put this out. IBM can do much better as evidenced for example by the Data Science courses, which are highly professional."
2019-11-07,sadra z,5.0,19.0,"I appreciate the chance to learn fundamentals of cyber security with you.
The vast number of topics made it pretty interesting for me and I couldn't wait to learn more.
Sincerely, Sadra Zargar"
