review_date,reviewer,star,helpful,text
2019-03-22,Szymon K,4.0,154.0,"I've learned a ton from this course. It encouraged me to look at some of the techniques I've already known from a fresh perspective. One caveat, though, is that I feel the course could've been slightly more practical - possibly having more actionable tasks included, such as ""Practice deliberate practice for 25 minutes on a project of choice, then journal about it"". Moreover, I feel it didn't cover memory palaces well enough, which I believe is a great tool for memorization. For anyone interested, I'd recommend to look up https://mullenmemory.com for more (which, by the way, I've discovered following Nelson Dellis, who has been interviewed in the LHTL course).
To sum up, I highly recommend this course to anyone interested in learning more efficiently.
People to follow later on:
Scott H. Young - https://www.scotthyoung.com
Nelson Dellis - https://www.youtube.com/user/punknellis14/playlists
Alex Mullen - https://mullenmemory.com (surprisingly not included in the course, possibly due to production date)"
2017-08-19,Patrick M,1.0,134.0,"this course states tons of info that is obvious. I mean tons. at one point the instructor says if there is a class review before a test it would be a good idea to attend. At another point her colleague says you can get a lot of intellectual stimulation by having smart peers to talk to. They also say your brain will work better if you exercise and get a good night's sleep. Are you serious? This is your advice? Could this be any more obvious? The course is filled with obvious statements like this making it much longer than it needs to be. Seriously, it could be cut in half if not by two thirds. They also tell you the names of different chemicals in your brain. How this helps you learn better I don't know. There are a few good pieces of advice here and there. It's a shame you have to listen to so many lectures to hear them. They could have cut out the obvious stuff and got to the point much quicker."
2019-03-11,Keenan L,5.0,121.0,"I often tell others that the greatest lesson I learned by going to college was ""learning how I learn best."" And yet, when I reflect on my undergraduate career (I graduated in 2012), it occurs to me that I didn't truly reach my potential as a learner. The flawed learning techniques I gleaned in high school stayed with me for my college years -- I crammed nightly before exams; I took cursory looks at a homework set's answer key and convinced myself that I knew the topic; rather than admit to myself that I was letting procrastination get control over my life, I convinced myself that, ""I work well under a little pressure,"" or that I simply didn't ""have time to go to review sessions/attend office hours/review my work/etc."" I may have been able to graduate with decent grades, but I certainly couldn't recall from memory the majority of the work I did.
And so, I've been left feeling like I've failed myself; like I didn't truly achieve my potential as a learner. ""Who would I be today,"" I sometimes muse, ""if only I applied myself and gave learning my all?"" But I can't play the ""woe is me"" game anymore. I may have not taken advantage of the learning opportunities I had at the time, but I can certainly do better for myself going forward.
Taking Dr. Oakley's course, supplemented by reading her book, ""A Mind for Numbers"" has changed my life. It's altered my perspective about learning and memory, and it's given me insight into how brains learn best, and how I can maximize my success and efficiency when it comes to learning. 
To give you an idea of the impact of Dr. Oakley's insight on my life: I originally borrowed her book ""A Mind for Numbers"" from my local library; when I finished it, I immediately bought a copy for my personal collection -- in part, to have on hand, should my friends and family ask to read it; but more importantly, I bought the book to serve as a reference for myself in the years to come, when I may need to remind myself on the best tips and methods for learning. 
This course taught me how to learn, something I took for granted during my formative educational years. I can't wait to see where I end up in the future, now that I'm armed with the tools, techniques, and resources I need to succeed!"
2016-04-29,Oshan,5.0,91.0,"Great course. Took it since it was the most popular MOOC on coursera,. Have started using a few of the techniques and they are very effective. Highly recommended no matter who you are and what you do. "
2018-10-19,Antonello C,1.0,88.0,"Extremely boring and it doesn't provide anything really practical. All the concepts(that are really basic) could fit in 10 or 15 A4 pages, instead they wasted my time with an enormous amount of videos with no real reason. A waste of time. I can't understand why this course is surrounded by such a hype as the one it gets. A waste of time. "
2017-06-29,Vikash M,5.0,81.0,"I don't write reviews very much so i will be brief.Taking out time for this course will be the best investment in your life. Wonderful ,helpful , Useful , Insightful , it's full of everything desired. "
2016-02-04,Kunal G,5.0,70.0,"I specially like the optional interviews. These learning case studies are quite insightful and you might just find a something that you can relate to, which might help in the grand scheme of things :)"
2015-10-03,Adriana M S S A,5.0,65.0,"This is an amazing class. It makes my professional life easy as well as my personal life. Everybody should take this class, and also the teachers are brilliant about all subjects that we see in class.  "
2015-09-07,Ross S,5.0,64.0,"I am a more effective learner as a result of this course. It has also, surprisingly, increased my enjoyment while learning. Thanks to Barbara and Terry for a well presented and informative production.
"
2019-09-23,Thomas S,1.0,56.0,"You can just complete the tests/exams without the need for reviewing the material, meaning it is pretty awful TBH."
2015-11-22,Zélia M L B L,5.0,55.0,"First MOOC that I can accomplish, even in my busiest days, because I'm motivated to learn the lessons taught in it and I like the teacher and class format (small videos and always repeating concepts). "
2019-03-07,Jorge A R,5.0,51.0,This course was eye-opening. I learned so many great techniques that I can immediately incorporate into my daily life. Thank you so much to the creators of this course for such invaluable information. 
2019-10-29,Myra C,5.0,48.0,I enjoyed this course so much. I learned a lot about how I can become a better learner. This course was very interesting and useful. I have some tools that I can use to optimize my learning potential. 
2018-09-30,Vit V,1.0,47.0,"How do people not know these basic fucking things. Bullshit that I have to spend my time on this crap. 
cheers"
2017-08-17,Amit K,5.0,43.0,It was a wonderful journey of learning how to learn. Simple and effective. Wish i had come across something like this a little early in life. But better late than never. Keep up the good work. Thanks.
2016-05-19,Esteban B,5.0,41.0,I found this course incredibly useful and practical. It has not only helped me better understand the process of learning but it has also given me valuable tools in how to optimize my learning process.
2016-09-09,Greeshma M R,5.0,39.0,"This is a course which I enjoyed. It gave a good insight of the learning methodologies which we have often heard of but not given due importance. Also, the brain facts is cool :) My 5/5 to this course"
2017-08-14,Juan S D l S,5.0,38.0,I really appreciate the time these guys invested in this course and am willing to take it again if they re-explain some topics in order to refresh some things that with time haven't stayed in my mind.
2019-09-23,Jonathan F,1.0,36.0,"not good. i didn't learn anything, it was boring and quite frankly if you don't know how to learn already, a free course is not going to help, you need a professional.  this course is bad."
2018-04-30,Pedro M N C,2.0,35.0,"Good teachers but... frankly the videos look outdated, very basic and talk a lot about concepts but nothing about how to apply what is supposed to elarn. It would be interesting to see someone studying and learning by applying what is stated above.
I frankly don't understand all the hype around this course, found it boring."
2019-03-23,Yağız K S,5.0,34.0,"This course was the first one I took in Coursera, and I'm glad to have been a part of it. Both Barbara and Terry are great teachers whose videos were a delight to listen to. They have given me tons of tricks to apply while studying and I have no doubt that these will come in handy. Thank you!"
2019-03-24,DHARINI U,5.0,33.0,"This is an amazing course. The design, flow and videos help gain understanding of the content in a seamless manner. The learning is highly engaging because of the simplicity of concept and the clarity of ideas provided right from the beginning of the course. Regular assessments and options to study additional content makes the learning more fun and exciting. The best part of this course is that one can apply the learnings of this course to anything and everything that you are learning or wish to learn. This is must do course for anyone who wants to keep learning in this journey of life"
2017-10-23,Jared R,5.0,31.0,This Course Is awesome it gave me a new look on how my brain works and that i should actually take breaks which is probably why i get frustrated. I am Excited to Put what i have learned into practice. 
2019-05-06,Пиндак С И,5.0,30.0,"Довольно хороший курс, усвоил для себя множество интересных техник, таких как помодоро и фокусировка на процессе обучения, а не результате для первичного снятия напряжения. Также понравились некоторые интервью, а некоторые не очень. Предлагаю подумать над интервью с людьми, которые могут поделиться своим практическим способом, но, к сожалению, не все интервью были такими."
2016-11-06,Bahaa A,5.0,28.0,"Amazing course, I learned a lot of new techniques for self motivation, and effecient learning. Now, I feel more confident to take further steps in improving and developing myself. Thank you so much :)"
2020-05-23 00:00:00,Pei F L,5.0,19.0,This course provides soft skills needed for continuous improvements which enhance my learning capabilities. It covers conceptual and practical approach to learn effectively and efficiently. Thank you! 
2020-05-18 00:00:00,Linda B,5.0,17.0,This class really focused on the process of learning.  It taught me so much.  I even shared ideas with my college and high school student.  They were surprised as some concepts were helpful to them also.
2018-03-14 00:00:00,Robert B,5.0,17.0,this course is great!  I actually already know some of these Technics and concepts before i went into this course but this course did such a great job of explaining it the now it really sticks with me.
2020-01-28 00:00:00,Anastasiia P,1.0,17.0,"I have finished the course, but I can't understand why everyone is giving such a high rating. Each and every advice in this course can easily fit in one 5 mins video and honestly I have learned far more simply by looking for learning techniques on youtube several years ago (I think now you can find even more information!). I thought in this course I could learn something new and interesting, but it was beyond measurement boring. I came to a point where I just made the quiz without looking the video or reading the text, because it is pretty obvious what the right answer is and you do not need to bore yourself with time-wasting videos or texts.
 To sum things from this course up: everyone can learn better through avoiding procrastination, focusing for short period of time, rewarding yourself for good results and doing basic stuff like training and good sleep. Here you go, the whole course content in one sentence!
Save your time and certificate money (! I really don't know who would pay for such a crap!), it does not worthy to waste your resources on this course!"
2015-11-14 00:00:00,Barry H,5.0,15.0,I found this course to be incredibly helpful. I am 33 and wish that I would have been taught a more efficient way of learning many years ago. There are definitely some great takeaways from this class.
2020-08-02 00:00:00,Constantine D,5.0,14.0,"This course accumulates a clear and valuable set of thoughts that structure knowledge about learning principles and tactics. Also, it was interesting to know some new things about how the brain works."
2019-09-17 00:00:00,Reham  H,5.0,13.0,"I loved it very much , it helped me in improving my skills and trying to find my passion by learning and have a great energy to do great things , it  is my pleasure to have this course from you doctors"
2017-07-20 00:00:00,Gaurav A,5.0,13.0,Really useful insights had been provided by this course. No price can be put on this valuable resource. It's beyond anything valuable. Thank you very much for making this course. God Bless Everyone :)
2018-09-25 00:00:00,Diogo C,2.0,9.0,"  In general, the course is very superficial. There are only a handful of useful ideas for learning in general (physical exercise, pomodoro for battling procrastination, analogies, interleaved testing and recall, spaced repetition) that can probably be taken from one of the teachers' TED talk.Another negative for me is that the focus is clearly for high-school students or early college. The final section, especially, is simply about passing exams. It never questions whether exams are actually effective or relevant to learning. Finally, there is the testing in the course. It goes against most of the ideas they taught. All of the questions are multiple-answer, often repeating the videos word for word, relying on superficial cues to finding the correct answer rather than actually knowing the material. The questions are also in the same order that they appear in the videos, which is exactly what they've advised not to do in the videos. Many of the possible answers are also obviously wrong, making it extremely easy to distinguish between the correct answers based on irrelevant information.It's not a completely worthless course, but it should be taken as a very small start, in my opinion. The extra materials (interviews especially) are good, at least giving people paths to follow depending on their specific interests.  "
2021-08-26 00:00:00,Werner V,5.0,8.0,"W​hile following this course I had fun and I started to enjoy again to learn in a properly/right way. It can be fun and playful. Thanks a lot for this course Prof. Oakley, Prof. Sejnowski and Coursera! "
2015-11-20 00:00:00,Nicholas D,1.0,8.0,"
This course tells you to use a timer while studying without the TV on and to avoid procrastination. It also stresses review while learning. This isn't anything new. The course discusses diffuse and focused modes. Diffuse modes are described as being as important as focused modes.  Running, day dreaming and sleep can help enter diffuse modes and integrate focused learning. Save you time and skip this course.  "
2016-09-26 00:00:00,Wesley S,1.0,8.0,Filled with redundant balderdash and extremely dumbed-down and slow-paced. Offends the learner.
2021-05-31 00:00:00,Nether S,5.0,7.0,"This course helped me a lot on realizing what I was missing and the real mistake that I've ever made. By fixing my cognition in learning, it gave me a better chance to study and retain more than ever."
2019-03-23 00:00:00,Anmol S J,5.0,7.0,Fantastic well-structured course with talented instructors! Some of the techniques mentioned changed my life!
2019-01-23 00:00:00,Khaydukov A V,1.0,7.0,"Очень маленькое количество знаний размазанных по большой тарелке (4 недели)! Пара техник типа ""Принцип помидоро"" о котором я и до этого курса знал, а всё остальное сплошная вода и истории каких то ""супер"" людей оторванных от реальности! Порой слушать эту тягомотину совершенно не интересно! Зря потраченные деньги и время!"
2017-04-19 00:00:00,Matt M,1.0,6.0,"To be honest, there are no techniques here that cannot be found in many other places. The only difference is that they explain the science behind the techniques, which in terms of practical application is not very useful at all. "
2017-05-29 00:00:00,Catherine A,1.0,6.0,"It over simplifies everything... The only thing that is remotely difficult is reading the quiz, not because the questions are hard but because they have been written poorly."
2019-11-06 00:00:00,William D W,4.0,5.0,"To be honest, it's kinda terrible."
2017-01-27 00:00:00,Lian L,1.0,5.0,"Dear Professors/Instructors/TAs/moderators/coders:

It is very good for you to start your work in a very early time! BUT it is so rude to send emails/notifications/greetings/reminders to me in a very early/late time (e.g.,  7AM, 10PM). During that moment, I was waked up frequently by your emails which do NOT include a big deal. 

"
