review_date,reviewer,star,helpful,text
2018-04-01,Anthony S,1,129,"So far courses 1 and 2 have been great with excellent explanations. I have no idea why, but that all changes for this course. The explanations are lacking and I'm left super confused. I ended up passing this class, but I feel I didn't get a good grasp and would need to take another ""access web data"" like class to actually have a grasp, even a basic grasp at that. This course should be revisited with better explanations. 
"
2016-07-22,Christian W,1,97,"Unfortunately on the whole I was very disappointed with this class. I took the first two Python courses and found them manageable, but this third one was an unrealistic increase in difficulty from the previous two. I reached out for help on the discussion board a number of times and saw many others were struggling as well. Mentors who responded to some of the other students were clearly getting defensive when those students were getting nowhere on the assignments. I think this program should reevaluate itself so students such as me can keep up with the assignments. On average I was spending about 10 hours per week just on the syntax for building the programs.
 
A little about my background: I have 20 years of experience in the private sector and am currently an analyst in cyber security. I have an undergraduate degree in finance, an MBA, and another master’s degree in Data Analytics. This 5 course program has been described and sold as beginner level, and given my background I should have handily been able to complete it, but that was definitely not the case. Normally I don’t leave feedback unless I feel strongly about something, so I hope you take it seriously. Thanks."
2019-06-15,Daniel H,1,49,"The assignments often go way beyond what is taught in the lectures or book. There was not a single assignment that I did not have to rely on reading tons of extra info from Overstack or other coding sites. I don't mind if the course is challenging, but it's challenging not because it's extremely difficult, but rather because it is testing things that weren't taught. "
2020-02-29,Wenjing L,5,47,"This third course is getting much more difficult than the first two courses, and sometimes I have to ""just remember including that code and it will work"" instead of understanding the whole thing. This makes it difficult for me to locate my bugs, since I don't know if it's the problem of the logic or the problem of my code structure.
The assignments are hard, but they are also easy, because we only need to change a little part of the sample code to get the answers. I don't think it can really challenge students and push us to understand better, because even if I finished all the assignments, I still feel a little confused.
But anyway, Dr. Chuck is such a good illustrator as always, and I just hope he can expand a little more so that it can be less confusing.
I have a few suggestions:
1. Starting from the 2nd course in this series, maybe the first assignment of installing python or posting pictures on forums for students for feedback can be changed into OPTIONAL because most of us who have this course have completed the former courses, and those are repeated workload.
2. The assignment sample code for WEEK 5 is wrong! The code provided is for week 6, and that CONFUSED ME A LOT! Please change that asap.
3. The assignments can be a little more variable, because although they are difficult enough(regarding students have to understand the concepts), they actually bring little help for students to understand the structures better. We only need to change so little a part in the ending part of the sample code, and it will work.
4. Some questions in the quizzes are too tricky and unnecessary for the course material. Like who invented what language? That shouldn't be a thing we should recite. Maybe the quiz questions can focus on more of the understanding of the concepts.
Thanks for reading."
2019-07-22,Sumit K,1,42,This course was horribly explained. The XML and JSON chapters just went over my head. I had to go to youtube for better and logical explanations. Feels like the instructor is in a hurry to finish the course content and do something else in his life
2018-12-11,Raquel R G,2,22,"Doing this course is not so much related to Python but to other computer engineering topics.
Network concepts are required, as well as knowing other programming languages such as HTML, XML or JSON, API or WebServices. Assignments require parsing webpages in HTML, XML or JSON, so knowledge of the same is needed. I would not pursue this course unless having strong knowledge about those topics
It is offered as part of a certification for people that know nothing about programming, so between course 2 and 3 there is a huge conceptual gap (going from loops, if-else and defining variables to HTTPS protocols, JSON and Service Layers). Keep your expectations right
 "
2018-01-09,Alan M R,2,20,"
As an experienced programmer, I am unimpressed.  The assignments cover a good set of tools; web i/o.  I would introduce classes before getting into web i/o; this would emphasize critical coding habits of productive programmers: modularity and reusability.  Also, variables and files are poorly named.  Comments are lacking.  The exercises don't ask students to program; they ask students to tweak (at most) the example programs.  Students are instructed to disable security features without sufficient discussion of the risks involved.  Overall, the presentation looks rushed and unpolished.  Code looks like it was hobbled together until it worked and never edited for clarity.  If someone I cared about wanted examples of good programming, I would tell them to avoid this."
2020-04-24,Dagart A,5,18,Great course. The lectures are clear and thorough. The assignments are challenging yet doable. The only thing I would like is to see more assignments to get more practice with the techniques learned.
2019-07-13,Piyush J,3,17,"well this was a good course though but I didn't feel very connected with web services i.e. I couldn't understand each line of code written for APIs. I didn't understand the concepts used in geojson api and twitter api completely. I would recommend to add basic explanation about these as I was not able to write codes myself that are illustrated in the course. So that's the place where I lost connection with the course as these concepts are not explained at beginner level programmers who are listening terms like API, SOA, JSON, XML, Web Scraping etc first time. So please elaborate these topics more simply and in detail so that we can understand each line of code."
2019-06-06,Alexander B,5,15,"Getting a bit more challenging than the earlier courses in the specialization.  The exercises require more struggle, but all the information is there.   Another step along the way.  Thank you, Dr. Chuck!"
2019-08-04,Ali A,1,15,"The course was great, but the teaching staff was so rude and mean to me. "
2019-12-11,Hank L,2,14,"NOTE: I am taking this course as a professional looking to move from Excel (which I have a high level of experience with) to Python. It is entirely possible that this course perfectly suits the needs of a person who has taken programming classes before and can fill the gaps, but it was not well suited for someone in my position. Below is my review of course #3 of the Python for Everybody certificate program. 
Let me start by saying that much like the University of Michigan football team, this course is highly reviewed at the onset, starts off well, and falls apart near the end. 
The class does a good job of covering basics on a topic, but expects one to bridge the gap between learnings with steps not covered (or barely touched on) in the program. This is likely due to an effort to keep the videos manageable in length, as I have yet to come across one longer than 20 minutes. However, this attempt at brevity causes much to be missed in execution; many students post the same questions to the online forum for help, which leads one to believe that crucial steps were missed or overlooked by the majority of students. I routinely find myself passing the 10-question quiz on the first attempt, but then not understanding what the assignment is asking me to accomplish. This results in me making wild guesses at the code and re-watching hours of content for a throwaway sentence that holds the key to the problem at hand. 
To summarize, the videos seem to prepare the user for the end-of-chapter quiz, but the assignments are far detached from the learnings of the video and textbook. This course might be well suited for someone who has used Python or other languages in the past and wants to take a course to refine their skills. If you're a professional looking to learn Python for the first time, you're better off buying a book that provides the answer to an exercise with step-by-step rationale for the process (something the author's textbook does not do, unfortunately). "
2019-11-01,Zach A,3,13,"Great up until Week 5 & 6. Probably needs to be a 7 or 8 week class at least. Some assignments basically require you to have previous programming experience, or else you will likely find yourself browsing the web looking for guidance and help."
2019-08-05,KAPIAMBA K F,1,12,"Horrible course, it should not be part of this specialization!!!!!"
2019-04-08,Greg C,4,11,"Great material, but it feels a bit rushed, covering as many topics as it does, in such a short amount of time."
2020-06-19,Sean M,5,10,This course was really interesting and did a good job introducing complicated topics in usefully simplified form. It was a pleasure to listen to the instructor and I got everything I wanted out of it.
2019-09-06,Hanaa A K,2,9,I'm not confident I know how to write the code alone without copying and pasting from an existing code. I am also not sure I understand what REST is.
2020-04-15,AI,1,9,The course fails to teach anything. The concepts r introduced well but the coding part comes out of no where. Coding part should've been taught systematically considering people have no prior knowledge in web data. 
2020-05-18,Arafatur R,2,8,"Well being a graduate of CSE course 1 & 2 of this specialization were fairly easy to me and fun to learn. But, this one in the last 2 weeks kept me scratching my head about what's going on here. The assignments were too hard or too easy at the same time. Why hard?? Because, too much was covered in the week 5 and week 6 and clear explanations weren't given. I found most assignments too hard at the beginning and then too easy afterwards because I ended up copying the supplied source codes and tweaking them to get the job done. I didn't write most parts of the codes like in the first two courses. I completed the course quite easily but I doubt how much I've actually learned. Most parts of the source codes I've submitted is still a mystery to me. I don't  understand each line of code I've submitted which I think I should when I've completed the course."
2020-05-04,Wilson W,2,8,"Previous courses seem better constructed and maintained. A glaring error was that the Week 6 quiz asked several questions about REST, but this was not covered in the material at all. Many other students have pointed this out on the forum several months ago. It looks like REST was removed from the syllabus, but not from the quiz. It would be good if they corrected this, as I went through all the course material again trying to figure out what I had missed."
2020-05-25,Rameses,1,8,"This course does introduce the beginning student to the web access aspects  albeit in a rudimentary manner. This could have been a very informative and educational course but it was tarnished because of several shortcomings and errors.  
 
Pros 
------ 
If you have not done any form of web-based programming or not familiar with that technology, this course does introduce a beginning programming student on the rudimentary aspects of accessing web data using Python. You will learn techniques such as creating sockets, connecting to a host and retrieving web pages as well as related third-party products that help you understand what's going on behind the scenes 
 
Cons 
------ 
1. The course presents complex code with no comments and no explanation of the more complex functions. You come away with a empty feeling of not having understood everything that you have learned. And that includes the assignments which use code provided by the instructor 
 
2. The topics regarding XML and Json structures and access methodologies could have been explained in more detail. Chuck went over his code without explaining some of the key points which I had to discover on my own. Extremely challenging for newbies 
 
3. I felt the assignments were confusing and not very challenging. I realize this is a beginner's course and therefore the level has to be kept down but I felt that a couple more (optional if necessary) assignments for some of us who want to delve deeper into this area would have been more educational 
 
4. As far as some of the technology described in the course and the sample code provided for web scraping twitter info, what can I say....except that it was DISASTROUS! Chuck talks about using telnet to access web servers. But most of the students did not understand the concepts as was evident from the innumerable questions for help. It seemed like the teaching staff themselves were ill-prepared to answer telnet questions or perhaps thoroughly frustrated as evinced in their curt replies and a burning desire to skip questions related to telnet. This spiraling of telnet-related questions became so heavy that one of the mentors finally put the topic to eternal rest by stating...""I am going to close this thread because telnet has been deprecated since the videos were made and there is no reason wasting time on an obsolete method."" All very well said, but all this frustration and anguish for both students and mentors about such an ""obsolete"" technology could have been squarely avoided had this topic been removed or a warning note placed. Same for the twitter code samples provided in this course, which did not work because of structural and policy changes implemented by twitter. Not the instructor's fault though. 
 
5. Another frustrating experience was the lack of help provided for those who posted questions on the socket programs provided by the instructor. The programs were written for a MacOS environment and the exact same code fails miserably in a Windows environment. Sometimes the students make mistakes in typing the code, sometimes they are behind a firewall/proxy server which results in a run-time error. There have been innumerable posts about the socket errors faced by many students. It would have been helpful for the students to understand what they did wrong.  One mentor, Tamara Brunnock, the teaching staff for this course cleverly sidesteps the original problem by a standardized cookie-cutter response ""Try using Chrome Developer Tools instead"". This exact phrase has been used in at least 30 responses and variations of this phrase in other responses. This tool is in no way related to the original Python program and does not help the student understand what went on in the program or how to understand the error. If a teaching staff member can respond to a legitimate student complaint on a programming problem by directing them to a third-party tool instead of addressing the original problem, it does not speak well of this course.
 
I would have given this course a higher rating but after all the frustrations I encountered, the lack of adequate help from the staff and a lack of explanation of concepts used in the lectures have left me unsatisfied and unhappy with having spent big bucks on this course. This course needs a lot of upgrading to newer technologies and dissolution of obsolete technologies and non-functional code that is provided. 
 
By all means take this course but be prepared for a frustrated, time-consuming experience.  
 
"
2015-11-22,Dario R,5,7,"Excellent introduction into accessing and scraping web data with Python.
Professor Chuck is very good at explaining things and the code snippets provided were just enough to get you started on your own.
Previous experience in Python is required. If you are coming from the first four Python for Everyone courses, you will find this one a noticeable step up in difficulty. This course uses Python 2 but I personally did all the code in Python 3 – it's possible, but be prepared to make changes and look up differences in modules between 2 and 3.
My co-students were also really helpful on the forums, although the rule not to post your source code makes trouble shooting difficult and laborious.
The one thing I found missing was the professor instructing and engaging you more on how to read and make use of documentation. It's a core skill for a programmer! With all the Python modules used in this course (Beautiful Soup, ET, XML, JSON) you are bound to come across situations where reading the documentation will open up many new pathways and enhance your understanding.
All in all a fun learning experience. Would recommend. A big thank you to Dr. Chuck & all the visible and invisible staff members who made it possible."
2019-05-13,Karunamoorthy M,5,6,"One of the Great Course on web Data Accessing through Python.
Thank you for your friendly teaching method."
2016-04-29,Vaughn P,5,5,"  Dr. Charles Severance is by far the best Computer Science professor out there!!!  I've done a significant amount of online Computer Science courses -as well as classroom courses back in college - and not one professor has been as fun and easy to understand as Chuck.  He puts presents every topic in such a way that you're never scared off thinking ""i'll never understand this stuff.""  He make computers and everything technical make sense.  I've basically binge-watched almost every lecture/course he's headed up.  
I've always been a little embarrassed to say I code in Python when talking with professional Developers.  I just thought it was an entry level language with limited capabilities.  Now i'm proud to say i code in Python.  I can't believe i can develop my on web browsers now.
He makes learning fun and seems like he's be a really fun guy to get to hang with.  Thanks Dr. Chuck for your love of teaching, you're the best!  "
2019-07-05,赵泽民,5,4,The course materials provided are very clear and useful.
2021-02-17,Evgeny K,5,3,"When I was about to start this course after the introductory ones, I was a little upset by the reviews I spotted. The average rate of this course is high, yet the ""most useful"" reviews are negative. Maybe because of this, my own opinion about the course is ""well above expectations"". I will try to address most common points of criticism from other reviews, and hope this helps future students to make a decision.
First, it has been claimed that the difficulty of this course is so much higher than in the previous two courses of specialization. I would not say so. Surely, it is more difficult, since it is expected that the students progress as they learn, but I have not felt that the material was enormously sophisticated. Also, the ""entertainment"" pieces have made a good deal of pushing the brain to relax. 
Then, it has been argued that the stuff in the forums is not polite and does not want to help, mainly making fun of the students. To tell the truth, I have not used forums much. I have asked one question and looked at about 20 most recent conversations at random. I have to say that I noticed noting rude in the stuff replies. In contrast to many other courses I have attended, the forum is alive, which is great! I have received a polite and comprehensive answer to my question in just about 4 hours, amazing! One thing is that the stuff is extremely attentive wiping out the code of the assignments and preventing discussions spoiling correct quiz answers. This may seem ""rude"" to somebody loving to have the assignments partially disclosed in the forums - but guys, we are not for cheating here.
Finally, I will cite some reviews. ""Some assignments basically require you to have previous programming experience""; ""If you're a professional looking to learn Python for the first time, you're better off buying a book that provides the answer to an exercise with step-by-step rationale for the process""; ""There was not a single assignment that I did not have to rely on reading tons of extra info from Overstack or other coding sites."". ""The explanations are lacking and I'm left super confused.""
I would say - nothing personal, everybody has its own opinion, and impressions can be different. But these seem incorrect _to me_. Yes, this course does require some prior programming skills - but this is course 3 in the specialization, and previous courses are intended to get the required experience. As for the book - I cannot imagine number of pages (guess would be thousands) to cover every bit of access to each type of web data step by step from scratch. The same about lack of details. Come on, you cannot expect learning, say, XML at the level sufficient to apply for a job after 30-60 minutes of lectures! This is enough to give an impression and possibly guide the students in future courses choice, but not to start as a professional programmer. Moreover, I am not sure I will need to parse json a lot, and I would be unhappy to have a separate course on this. Yet, it is good to know that such thing exist not to be confused facing it, and the lectures in this course are perfectly suitable. As for the assignments being poorly related to the in-class material... Well, I would say I have been upset by the _presence_ of too detailed ""working examples"" preceding the assignments! I ended up with making my assignment first and then watching the example to possibly find some drawbacks in my work. And I have never used anything besides the examples provided in the textbook and python documentation to pass the assignments.
Ok, I feel that I have written too much already. The last point is about the amount of assignments. During the previous courses it seemed to me that there could be more of programming tasks - 1 or 2 per week is not enough to cover, say, lists, which is essential to whatever you use Python in future. (On the other hand, since we have learned the basics, a lot of calculus tasks are available to us for practice on our own) Well, as for _this_ course, I feel that the assignments are just fine. I cannot claim that I can solve some arbitrary json or xml issue - but if I need, I have gained proper basement to learn the necessary details and features and to understand tutorials.
Hope this helps future students whether they enroll in this course or no. "
2017-07-03,Kaida Z,5,3,"This course is great to introduce you to regular expression, HTML, XML and JSON. Based on this course, you may dive into many other materials to further learning how to use python to access web data."
2016-03-04,Matt M,1,3,"Took the first two courses which were fine but this one started off poorly and just got worse, unfortunately. I'm wondering if I can get my money back. "
2019-12-31,Hakan T,1,3,  Horrible TAs. They should all be changed. They are extremely rude and annoying.  
2019-06-29,Minhao S,1,3,"teaching staff.......no good, helpless"
2020-05-28,SHARATH C,1,3,explanation was not up to the mark.
2019-05-23,ElectroSonic,1,3,really hard assignments
2018-11-30,Misha S,1,3,Time wasting & rubish
2015-12-22,J A M,5,2,"Yet another excellent course... My prior reviews were so ravingly positive that I now feel compelled to offer a very minor area of potential improvement:  Dr. Chuck might have considered going a bit deeper into Geojson API and perhaps even done a second API.  Also there were some glitches in the Geojson assignment:  My python Spyder was left frozen a couple times before I got things working.
I understand that some students would have complained due to the length of Week 6, but if you requested the simple first assignment completion after the first 10 minutes of video lecture, you could have snuck in two concrete API assignments later on.  Also, you could have had a Week 7 with the second API and alternate Web Access assignments.  In sum, I was left wishing I had a bit more API experience.
Nevertheless, I give this class 4.75 stars, which rounds up to the usual 5 stars.  I've completed three of Dr. Chuck's classes and I'm on the fourth.  Dr. Chuck is the incarnation of the super MOOC professor.  Long live Dr. Chuck!"
2019-10-29,Michael O,5,2,"Disclaimer: If you're taking the Python for Everybody Specialization, I HIGHLY suggest starting the Python 3 Programming Specialization (also University of Michigan) after completing the first two courses. Get to Week 2 of Course 1 in that specialization and then start Course 3 of Python for Everybody.

I really appreciate the University of Michigan and the staff involved in providing these courses.I completed the first two courses of Python for Everybody and started the Python 3 Programming Specialization (another University of Michigan specialization) before taking this course.Unlike the first two courses in this specialization, I do not feel like I've committed the code to memory. Especially when it comes to XML. I can comfortably talk someone through the steps of working with XML/JSON, but would likely need to look up the syntax to code it (which I hope was the intention of the course)."
2021-03-29,Miguel A V C,5,2,"I had low expectations for this course as the most helpful reviews complained that content was rushed and assignments were difficult. However, I found this course really enjoyable and easy. I think that people is complaining because they were spoon-fed too much on courses 1 and 2 of this specialisation. I only had to look for help on the forums once, and to be honest the teaching staff is a wee bit unhelpful and often confuses people more.
 My background:  I started python from scratch with this specialisation and only have 20 months of experience in programming with MATLAB."
2017-09-13,Avisek G,5,2,"The course teaches the basics of how to interact with the internet using Python. The course is simple, well explained, has great interviews with people who were part of the creation of the internet."
2019-07-07,Ichiro H,4,2,"Great course for introduction to parse Web Data. However, google map and twitter API seems to be changed a lot, so those examples won't work any more. It took me a few days to figure that out and felt a bit stressful. Hope re-recording take place soon so that many other students would not stuck there."
2019-05-18,Nicolas C,2,2,"I think that the average user will be overexerted by the complexity of this course after week 4. You have to consider that most participants barely have experience in programming at all and I am pretty sure that some will get lost, lose interest and definitely will not be able to reproduce this kind of web scraping for their own projects.
The step from scraping through simple HTML to using libraries and APIs was too much in my opinion."
2019-02-08,manish v,1,2,I would give 0 stars if I could
2022-04-26,Samuel M,5,1,"Overall  I really enjoyed the course and I hope to continue with the other two modules in the specialization. I would like to suggest to Dr. Severance that he try Visual Studio Code for the code editor used in the course. The IDE has plugins for a very large selection of languages including Python, but also includes Terminal which is used in place of Command Prompt. This saves always having to restart another program which some students might find really inconvenient, and is much easier to see than Command Prompt. I have a good bit of experience with an older version of Visual Studio programming in C++ and the features in the newest version of Python makes some things in C++ seem quite tedious.  I suspect that some of these features may have been added in newer versions of Visual Studio, but that is just conjecture. Thank you for the opportunity to learn Python and I look forward to continuing in Data Sciences courses, especially an Astronomy course managing large data sets."
2016-09-23,Rory P,5,1,"Professor Severance is awesome. I really like how each video is an in-depth look at a specific example and that he tells you what to ignore and when. I think his sense of what's important is spot on as I've already started to apply some of his lessons to personal work and find that as I work through personal projects, the next question I have is usually covered in the next lecture or soon thereafter. The videos build on one another in a very coherent manner and the assignments are applicable to what you learned. I think the assignments could be a little more challenging and that more references to the book should be included in the lectures as the book is also very helpful and a great primer for each week's material, especially when it comes to understanding parsing XML and JSON more. I think more chapters on this in the book could be very helpful though."
2020-11-26,Sarvesh M,5,1,"This is the third course of Python for Everybody specialization. I love this specialization and I hope whoever took this specialization is greatly benefited by this specialization. I started with the first course which laid the foundation of my python journey. That first lecture in which we learnt the hardware of computers got me a lot more interested in computers and technology. I have to thank UMICH and Coursera for all these courses and I have to thank the instructor, Dr. Chuck for this wonderful specialization. I look forward to meet you in the next course of this specialization which is Using Databases with Python. Thanks a lot and I would encourage anyone who is planning to learn python programming to enroll in this specialization and complete it. This is just awesome if you want to learn python programming. Thansks a lot. "
2020-10-31,Ed H N C,5,1,"Thank You Lord for the strength!!!
Thank You for the support of my family for not bothering me during days and days of solving these assignments.
Thank you DOST Caraga for the the learning opportunity.
Thank you for the loads and loads of coffee.
#HardLife!"
2022-04-25,Jocelyne L,5,1,"Veyr interessing course. I am not an expert in the subjet, but I am now able to write a program to scrap, parse URLs. I will do more exercices to improve myself.
XML , json, API are no more strange words for me. I recommand this course !"
2022-05-08,Shounak P,5,1,Very versatilte and touched a wide range of relevant topics in the course. Helps in securing a good grasp of the nuances of data parsing from the web. Thank you Dr Chuck and Coursera for this opportunity.
2020-04-12,Monirul H,5,1,"It's not that easy like previous two courses. But I'm glad that I had a little bit idea about regular expressions, networking, xml and REST before starting this course."
2021-02-20,Ashwin L,5,1,The course gives good start to python programming. Wanted little extra knowledge on the data structures in python but that maybe a story in some other python course.
2022-05-09,Rana G,5,1,I​ have learnt many new things. Assignments are really helpful in implementing the concepts learnt and recalling the things learnt in previous courses.
2022-04-15,Shaghayegh S,5,1,This is one of the most useful courses I passed in Coursera. It gives you enough information to get the job done. Not too much and not too little.
2022-05-02,Nicole M ,5,1,"All around, not as easy as previous courses, but the reference material and quizes/assignments were interesting and helpful. "
2022-05-03,Abdullah H,5,1,Wonderful Course on Web access with python. I must admire the wonderful learning skills of Dr. Chuck
2022-04-18,Alejandro V R,5,1,this course scaled up my ability with python and my understanding of the basics
2022-05-06,2039 T M,5,1,"Very beautiful and probably the toughest one till now in the 5 series
"
2021-01-30,Prajanand k,5,1,Using Python to Access Web Data of good coursed of python skil
2022-04-19,Elmer R M,5,1,V​ery good for start learning how to access data using Python
2022-04-30,p0tat0mam,5,1,"very usefull ,requier hard work,very intersting"
2022-04-29,Miguel H,5,1,estupendo para seguir profundizando en python.
2022-04-13,Cabdiqani C M,5,1,This Course Is Absolutely Outstanding
2022-05-10,Александр В,5,1,"Хороший курс, Спасибо"
2022-04-11,Ayush B,5,1,wonderful course
2022-04-06,Nima f,5,1,V​ery Good
2022-05-08,Chandan B,5,1,so happy
2022-04-20,Navya M,5,1,"good
"
2022-04-13,qixiu j,5,1,good
2022-04-08,Wisa L,5,1,GOOD
2022-04-08,441-RAHUL S,5,1,nice
2020-11-19,Ayatullah K,4,1,"The first two courses needed to completed this course successfully.
I have previous experienced of programming with c++ and javascript. So this wasn't 

difficult to me. However, I have learned a lot of about web services. How to retrieve

web data with python and manipulate them. From week 1 to week 4 was, how can you

retrieve web pages, how to request a server and get back web data using some python

libraries like urllib(a python library to retrieve web page). Overall, for the assignments

you have to know programming logic a little bit. After retrieve web pages you need to work

with data. So you have to know conditon, loop, list, dict etc. All the assignments of this 

course is calculate sum or count of a list of data.



The last two weeks you will get familiar with xml and json. These two is the communication system for

service provider and consumer. How easy they communicate and exchange their data.

It uses for the service oriented approach mostly."
