review_date,reviewer,star,helpful,text
2017-05-13,Eduards K,5,235,"Excellent, although, even without having any programming experience except some Visual Basic at school about ten years ago, in my opinion the course could have bee more difficult and the pace quicker.
"
2016-06-22,Rui D,5,189,"Extremely basic but Dr. Chuck is so interesting that you never get bored. You can pass the course in a few days with minimum or even no programming knowledge. It's a good starting point for beginners.  
 "
2019-01-28,Bryan T,5,132,Lecture videos were broken into small parts whereby it's easy to understand and digest. Assessment given were relevant to what was taught for each segment. Navigating around course contents were easy.
2017-06-21,Taniya M,5,112,"
first time i had done any course online and this was a wonderful experience 
I learned all the stuff and the explanation provided was good.
i would like to do more courses from here
thank you! "
2018-09-10,Gregory S,5,111,Great introduction to Python and programming as a whole. Everything is broken down making it easy to understand. Had zero programming experience before and this class made it easy and fun to get into. 
2019-08-25,bittu s,5,88,"Great introduction to Python and programming as a whole. Everything is broken down making it easy to understand. Had zero programming experience before and this class made it easy and fun to get into. 
 
 
"
2017-10-05,Eric V H,1,85,I did not find this course helpful. The assignments seem to ask for more info that you've been taught in any of the videos. My analogy for the course is this: It's like making a newborn baby watch a video on swimming and then throwing it into the ocean and acting shocked when it doesn't know how to swim. The mentors in the discussion forum are condescending and do not help when you don't understand the terms they are using. I would not recommend this course for beginners.
2016-01-17,Brittany N,5,84,"After trying tutorial after tutorial and exploring many different resources to learn Python, I have finally found one that works! This is a very fun course, and the free textbook is simply incredible. 
"
2016-09-04,Liang Z,5,72,"The professor's lecture is so awesome, however, the content is adjust to the new programming learners. I heared extended part of the course is charged,  you can purchased it if you want deeper learning"
2018-03-29,Adam K,5,65,Very good introduction to basic programming. Very easy for beginners in python who have already some programming background - but still extremely useful to quickly and efficiently learn python basics.
2018-01-02,Tristan L,5,60,Thank you. It was a worthwhile course. Entertaining as well. I just wish that there were more sample homework before the exercises so students could see how the lessons are applied to actual problems. 
2016-11-12,Jerol T,5,58,"I completed the course in about three days. I've never programmed before to the learning curve was excruciating but nonetheless I managed to get through and finally get my python feet wet so to speak.
"
2016-03-25,Shawn M,5,56,"excellent for beginners, very well described, great understanding grasped and its simple, very simple, but thats what makes it 5 star, is that its for anyone or as the title says pythong for Everybody"
2015-11-19,Alan W,5,55,Easy to follow and not boring. The instructor breaks things down in simple form. The Coursera platform is sometimes a bit quirky but otherwise the content in this course I thought was quite excellent.
2017-06-16,Lukas K,2,54,"Very slow pace, might be good for totally beginners BUT if you know anything about CS or programming it will be too slow for you."
2017-10-20,Daniel A J,5,52,"Dr. Chuck has a special ability to teach programming to people who doesn't necessarily have programming background. This is rare among programming teachers, and shows that he is an excellent educator."
2017-10-14,Yared N,5,48,"This course is organized and explained very well.  It is moderately challenging, and I recommend it to get interested in Python.  The teacher and the assistant staff are very good.  I enjoyed the course."
2019-09-28,Githanjali V,5,46,"Extremely well laid out curriculum, to the point videos and excellent book. Built my confidence level to clear the course. Thanks Dr.Chuck for all the hard work and diligence to support the community."
2017-02-14,Bhaskar R U,5,44,"Great teacher Chuck and obviously a great course for people just starting out with programming. Well paced. The suggested timings for the assignments were a bit off, I think, but well, that's just me. "
2019-05-25,Yuxin N,5,35,this course is extremely suitable for an individual who does not know anything about python. but after i learned the course . it seems  like a litter bit of easy. i commend that at the final of the course. the text should tend to more difficult so that people who learn this course can actually improve programming skill
